T_REC,noaaID,Class,one,MPlus,y_true
20231009,13459.0,N,0.241,0.005,0
20231010,13454.0,N,0.247,0.0061,0
20231010,13457.0,N,0.175,0.0554,0
20231010,13460.0,C,0.423,0.0013,0
20231011,13454.0,C,0.321,0.0016,0
20231011,13460.0,C,0.569,0.0107,0
20231011,13462.0,N,0.304,0.0771,0
20231013,13460.0,C,0.3,0.0029,0
20231013,13462.0,N,0.278,0.0028,0
20231013,13463.0,C,0.368,0.0004,0
20231013,13464.0,N,0.298,0.0285,0
20231014,13460.0,C,0.311,0.0016,0
20231014,13462.0,N,0.207,0.0063,0
20231014,13463.0,N,0.235,0.0109,0
20231014,13464.0,N,0.245,0.0008,0
20231014,13465.0,N,0.386,0.0022,0
20231015,13460.0,N,0.303,0.0011,0
20231015,13462.0,N,0.208,0.0033,0
20231015,13463.0,N,0.228,0.0558,0
20231015,13464.0,C,0.297,0.1459,0
20231015,13465.0,N,0.384,0.0132,0
20231016,13466.0,N,0.269,0.0042,0
20231016,13463.0,N,0.234,0.0356,0
20231016,13464.0,C,0.254,0.1364,0
20231016,13465.0,N,0.339,0.0097,0
20231017,13463.0,C,0.205,0.0048,0
20231017,13464.0,C,0.211,0.252,0
20231017,13465.0,C,0.296,0.2285,0
20231017,13467.0,N,0.198,0.0014,0
20231018,13464.0,N,0.244,0.0226,0
20231018,13465.0,N,0.228,0.0771,0
20231019,13464.0,N,0.26,0.0048,0
20231019,13465.0,C,0.213,0.0019,0
20231019,13468.0,N,0.301,0.0409,0
20231020,13465.0,N,0.213,0.1374,0
20231020,13468.0,N,0.279,0.0938,0
20231021,13465.0,N,0.218,0.1606,0
20231021,13468.0,N,0.24,0.0156,0
20231022,13468.0,N,0.202,0.0023,0
20231023,13468.0,C,0.201,0.0153,0
20231024,13468.0,N,0.215,0.0021,0
20231024,13470.0,N,0.208,0.0215,0
20231025,13468.0,N,0.194,0.2324,0
20231025,13470.0,N,0.177,0.0142,0
20231025,13471.0,N,0.195,0.0035,0
20231027,13471.0,N,0.276,0.012,0
20231028,13471.0,C,0.236,0.0016,0
20231029,13471.0,N,0.19,0.0016,0
20231029,13472.0,N,0.222,0.0034,0
20231030,13472.0,N,0.236,0.0031,0
20231030,13474.0,C,0.451,0.0013,0
20231101,13472.0,C,0.322,0.002,0
20231101,13473.0,N,0.233,0.0017,0
20231101,13474.0,N,0.652,0.0709,0
20231102,13472.0,N,0.366,0.0418,0
20231102,13473.0,C,0.175,0.0019,0
20231102,13474.0,M,0.618,0.0953,1
20231103,13472.0,N,0.386,0.0019,0
20231103,13473.0,C,0.18,0.1863,0
20231103,13474.0,N,0.638,0.002,0
20231103,13476.0,N,0.159,0.7621,0
20231103,13477.0,N,0.49,0.0037,0
20231104,13473.0,C,0.2,0.0018,0
20231104,13474.0,C,0.523,0.0263,0
20231104,13477.0,C,0.512,0.1338,0
20231104,13478.0,N,0.167,0.0035,0
20231105,13477.0,N,0.547,0.0511,0
20231105,13478.0,C,0.206,0.009,0
20231105,13479.0,N,0.195,0.0191,0
20231106,13477.0,C,0.535,0.0044,0
20231106,13478.0,N,0.165,0.0043,0
20231106,13479.0,N,0.166,0.1262,0
20231106,13480.0,C,0.526,0.0366,0
20231107,13477.0,C,0.51,0.0015,0
20231107,13479.0,C,0.16,0.0022,0
20231107,13480.0,C,0.36,0.0534,0
20231108,13477.0,N,0.517,0.28,0
20231108,13479.0,C,0.237,0.2528,0
20231108,13480.0,N,0.256,0.0014,0
20231108,13482.0,N,0.128,0.004,0
20231109,13477.0,C,0.443,0.1668,0
20231109,13480.0,C,0.219,0.0018,0
20231109,13482.0,N,0.122,0.0028,0
20231110,13477.0,C,0.321,0.0254,0
20231110,13482.0,N,0.115,0.0207,0
20231110,13483.0,C,0.318,0.0102,0
20231111,13477.0,M,0.465,0.2813,1
20231111,13481.0,N,0.179,0.0128,0
20231111,13483.0,C,0.433,0.0017,0
20231112,13481.0,N,0.206,0.0539,0
20231112,13483.0,N,0.487,0.0177,0
20231115,13486.0,N,0.29,0.0114,0
20231116,13486.0,C,0.288,0.0017,0
20231120,13489.0,C,0.672,0.1695,0
20231121,13489.0,C,0.777,0.1372,0
20231121,13490.0,C,0.744,0.026,0
20231122,13489.0,N,0.72,0.2088,0
20231126,13500.0,C,0.707,0.0169,0
20231126,13501.0,N,0.27,0.0014,0
20231127,13489.0,C,0.35,0.0056,0
20231127,13500.0,C,0.623,0.2867,0
20231127,13501.0,N,0.255,0.0598,0
20231128,13500.0,M,0.592,0.1332,1
20231128,13501.0,N,0.158,0.0618,0
20231128,13503.0,C,0.223,0.0028,0
20231129,13500.0,C,0.701,0.0855,0
20231129,13501.0,N,0.147,0.0281,0
20231129,13503.0,N,0.177,0.0263,0
20231130,13493.0,C,0.316,0.0019,0
20231130,13500.0,C,0.726,0.1275,0
20231130,13501.0,N,0.176,0.2392,0
20231130,13503.0,N,0.19,0.0267,0
20231201,13500.0,M,0.774,0.0386,1
20231201,13501.0,N,0.163,0.0862,0
20231201,13503.0,N,0.154,0.1926,0
20231202,13500.0,C,0.842,0.0151,0
20231202,13501.0,N,0.198,0.0028,0
20231202,13503.0,C,0.127,0.1719,0
20231202,13507.0,N,0.334,0.0009,0
20231203,13500.0,C,0.771,0.0043,0
20231203,13501.0,N,0.234,0.0949,0
20231203,13508.0,N,0.297,0.0033,0
20231203,13507.0,C,0.321,0.0016,0
20231204,13508.0,C,0.31,0.004,0
20231204,13507.0,C,0.278,0.01,0
20231205,13507.0,N,0.251,0.0294,0
20231206,13507.0,C,0.263,0.0812,0
20231207,13507.0,N,0.314,0.0914,0
20231207,13512.0,N,0.123,0.2338,0
20231208,13507.0,N,0.364,0.0891,0
20231208,13512.0,N,0.113,0.0225,0
20231208,13513.0,C,0.38,0.0014,0
20231209,13507.0,N,0.318,0.1143,0
20231209,13513.0,C,0.428,0.0015,0
20231209,13514.0,N,0.263,0.0029,0
20231210,13513.0,C,0.405,0.0019,0
20231210,13514.0,N,0.231,0.0192,0
20231211,13513.0,C,0.381,0.0061,0
20231211,13514.0,C,0.21,0.0532,0
20231211,13516.0,C,0.31,0.0018,0
20231212,13513.0,C,0.315,0.002,0
20231212,13514.0,C,0.239,0.0603,0
20231212,13516.0,N,0.27,0.0014,0
20231213,13514.0,C,0.336,0.1185,0
20231213,13516.0,N,0.172,0.0017,0
20231214,13516.0,N,0.184,0.0014,0
20231215,13514.0,M,0.971,0.016,1
20231215,13516.0,N,0.176,0.0048,0
20231215,13518.0,N,0.226,0.0019,0
20231216,13516.0,N,0.173,0.1863,0
20231216,13518.0,N,0.144,0.0064,0
20231216,13519.0,N,0.274,0.0221,0
20231217,13516.0,N,0.158,0.1092,0
20231217,13518.0,N,0.15,0.0706,0
20231217,13519.0,N,0.252,0.0019,0
20231218,13516.0,N,0.142,0.1123,0
20231218,13519.0,C,0.24,0.0014,0
20231218,13521.0,N,0.252,0.0017,0
20231219,13519.0,N,0.25,0.0019,0
20231219,13521.0,C,0.397,0.0039,0
20231219,13523.0,C,0.303,0.0461,0
20231219,13525.0,N,0.138,0.0135,0
20231220,13519.0,C,0.357,0.0077,0
20231220,13521.0,C,0.619,0.0022,0
20231220,13525.0,N,0.141,0.0033,0
20231221,13528.0,C,0.293,0.0016,0
20231221,13519.0,M,0.461,0.0184,1
20231221,13521.0,C,0.75,0.0523,0
20231221,13529.0,C,0.466,0.0975,0
20231222,13528.0,C,0.348,0.2472,0
20231222,13526.0,C,0.711,0.0541,0
20231222,13529.0,N,0.476,0.085,0
20231222,13530.0,N,0.312,0.0025,0
20231223,13528.0,N,0.512,0.0019,0
20231223,13526.0,N,0.639,0.0655,0
20231223,13529.0,N,0.358,0.0015,0
20231223,13530.0,C,0.313,0.0421,0
20231223,13531.0,N,0.355,0.0036,0
20231224,13528.0,C,0.602,0.0137,0
20231224,13526.0,N,0.454,0.0069,0
20231224,13529.0,M,0.434,0.0017,1
20231224,13530.0,C,0.375,0.0047,0
20231224,13531.0,N,0.336,0.0019,0
20231225,13530.0,C,0.381,0.0975,0
20231225,13529.0,C,0.517,0.0978,0
20231225,13531.0,C,0.299,0.007,0
20231225,13533.0,C,0.227,0.0071,0
20231226,13529.0,C,0.444,0.1766,0
20231226,13531.0,N,0.276,0.0298,0
20231226,13533.0,N,0.19,0.0146,0
20231227,13529.0,N,0.41,0.2111,0
20231227,13531.0,N,0.278,0.0018,0
20231227,13533.0,N,0.171,0.299,0
20231228,13531.0,N,0.279,0.006,0
20231228,13533.0,C,0.159,0.0137,0
20231229,13531.0,N,0.303,0.0314,0
20231229,13533.0,C,0.303,0.0067,0
20231230,13531.0,N,0.332,0.0988,0
20231230,13533.0,N,0.318,0.0013,0
20231230,13534.0,C,0.298,0.0015,0
20231231,13534.0,N,0.334,0.0186,0
20240101,13534.0,N,0.238,0.0027,0
20240102,13534.0,N,0.17,0.2623,0
20240103,13534.0,N,0.157,0.0012,0
20240103,13536.0,C,0.901,0.0042,0
20240104,13534.0,C,0.2,0.0015,0
20240104,13536.0,M,0.854,0.0066,1
20240105,13534.0,C,0.333,0.0015,0
20240105,13536.0,C,0.835,0.0019,0
20240108,13538.0,C,0.325,0.0011,0
20240109,13536.0,C,0.39,0.022,0
20240109,13538.0,C,0.386,0.0365,0
20240110,13536.0,C,0.46,0.0009,0
20240110,13543.0,N,0.277,0.0019,0
20240110,13544.0,N,0.126,0.0044,0
20240112,13544.0,N,0.244,0.0382,0
20240112,13545.0,N,0.342,0.1188,0
20240112,13546.0,N,0.405,0.0017,0
20240115,13547.0,N,0.139,0.0136,0
20240115,13545.0,N,0.266,0.0372,0
20240115,13546.0,N,0.208,0.2105,0
20240116,13545.0,C,0.268,0.2041,0
20240116,13548.0,N,0.201,0.0956,0
20240116,13549.0,C,0.438,0.0066,0
20240116,13550.0,N,0.177,0.0041,0
20240116,13553.0,C,0.389,0.0764,0
20240120,13549.0,N,0.349,0.0386,0
20240120,13551.0,N,0.226,0.0407,0
20240120,13555.0,C,0.266,0.0021,0
20240120,13556.0,N,0.26,0.0052,0
20240207,13571.0,N,0.23,0.0629,0
20240207,13572.0,N,0.173,0.0044,0
20240207,13574.0,C,0.197,0.0023,0
20240207,13576.0,M,0.878,0.1086,1
20240209,13571.0,N,0.228,0.0019,0
20240209,13574.0,C,0.193,0.0281,0
20240209,13576.0,M,0.954,0.2685,1
20240209,13577.0,N,0.123,0.0047,0
20240210,13571.0,N,0.258,0.0015,0
20240210,13574.0,N,0.144,0.0033,0
20240210,13576.0,M,0.912,0.9959,1
20240210,13577.0,N,0.185,0.027,0
20240211,13571.0,N,0.278,0.0143,0
20240211,13574.0,N,0.126,0.0029,0
20240211,13576.0,C,0.917,0.0424,0
20240211,13581.0,N,0.253,0.0014,0
20240212,13576.0,M,0.728,0.0812,1
20240212,13581.0,N,0.232,0.0062,0
20240213,13576.0,C,0.695,0.2377,0
20240213,13581.0,N,0.178,0.0289,0
20240213,13582.0,N,0.383,0.7254,0
20240213,13583.0,C,0.404,0.0228,0
20240213,13584.0,N,0.356,0.0015,0
20240214,13576.0,M,0.914,0.0858,1
20240214,13581.0,N,0.142,0.0539,0
20240214,13582.0,M,0.357,0.2902,1
20240214,13583.0,C,0.412,0.2916,0
20240214,13584.0,C,0.314,0.0014,0
20240215,13581.0,N,0.171,0.7667,0
20240215,13582.0,N,0.327,0.2544,0
20240215,13583.0,C,0.379,0.0931,0
20240215,13584.0,N,0.273,0.0019,0
20240216,13581.0,N,0.188,0.0128,0
20240216,13582.0,N,0.303,0.0339,0
20240216,13583.0,N,0.368,0.0675,0
20240216,13584.0,N,0.213,0.0131,0
20240216,13585.0,N,0.261,0.0018,0
20240218,13581.0,N,0.226,0.0118,0
20240218,13583.0,C,0.431,0.0489,0
