T_REC,noaaID,Class,one,MPlus,y_true
20230930,13449.0,N,0.227,0.0715,0
20231004,13452.0,C,0.52,0.2036,0
20231006,13450.0,C,0.305,0.2739,0
20231006,13452.0,C,0.511,0.0376,0
20231007,13450.0,C,0.308,0.0039,0
20231007,13452.0,C,0.496,0.005,0
20231011,13460.0,C,0.569,0.0107,0
20231013,13460.0,C,0.3,0.0029,0
20231014,13460.0,C,0.311,0.0016,0
20231015,13460.0,N,0.303,0.0011,0
20231016,13466.0,N,0.269,0.0042,0
20231110,13477.0,C,0.321,0.0254,0
20231111,13477.0,M,0.465,0.2813,1
20231127,13489.0,C,0.35,0.0056,0
20231130,13493.0,C,0.316,0.0019,0
20231203,13508.0,N,0.297,0.0033,0
20231204,13508.0,C,0.31,0.004,0
20231211,13516.0,C,0.31,0.0018,0
20231212,13516.0,N,0.27,0.0014,0
20231213,13514.0,C,0.336,0.1185,0
20231213,13516.0,N,0.172,0.0017,0
20231214,13516.0,N,0.184,0.0014,0
20231215,13514.0,M,0.971,0.016,1
20231215,13516.0,N,0.176,0.0048,0
20231216,13516.0,N,0.173,0.1863,0
20231217,13516.0,N,0.158,0.1092,0
20231218,13516.0,N,0.142,0.1123,0
20231219,13521.0,C,0.397,0.0039,0
20231219,13523.0,C,0.303,0.0461,0
20231220,13521.0,C,0.619,0.0022,0
20231221,13528.0,C,0.293,0.0016,0
20231221,13521.0,C,0.75,0.0523,0
20231222,13528.0,C,0.348,0.2472,0
20231222,13526.0,C,0.711,0.0541,0
20231223,13528.0,N,0.512,0.0019,0
20231223,13526.0,N,0.639,0.0655,0
20231224,13528.0,C,0.602,0.0137,0
20231224,13526.0,N,0.454,0.0069,0
20231225,13530.0,C,0.381,0.0975,0
20240104,13536.0,M,0.854,0.0066,1
20240105,13536.0,C,0.835,0.0019,0
20240109,13536.0,C,0.39,0.022,0
20240110,13536.0,C,0.46,0.0009,0
20240115,13547.0,N,0.139,0.0136,0
20240209,13576.0,M,0.954,0.2685,1
20240210,13576.0,M,0.912,0.9959,1
20240211,13576.0,C,0.917,0.0424,0
20240212,13576.0,M,0.728,0.0812,1
20240213,13576.0,C,0.695,0.2377,0
20240214,13576.0,M,0.914,0.0858,1
20240219,13586.0,N,0.354,0.0236,0
20240220,13586.0,N,0.348,0.0383,0
20240221,13586.0,N,0.294,0.002,0
20240222,13586.0,N,0.328,0.0022,0
20240223,13586.0,N,0.336,0.0026,0
20240224,13586.0,N,0.324,0.0016,0
20240225,13586.0,N,0.321,0.0015,0
20240303,13592.0,C,0.357,0.009,0
20240305,13599.0,C,0.402,0.002,0
20240310,13599.0,M,0.604,0.1359,1
20240311,13599.0,C,0.566,0.0425,0
20240312,13599.0,C,0.724,0.1877,0
20240327,13615.0,M,0.89,0.9964,1
20240328,13615.0,X,0.905,0.9973,1
20240416,13637.0,C,0.698,0.0009,0
20240417,13638.0,C,0.673,0.0072,0
20240417,13639.0,C,0.714,0.0699,0
20240418,13638.0,M,0.647,0.0737,1
20240419,13638.0,C,0.673,0.9962,0
20240419,13639.0,C,0.625,0.0152,0
20240420,13639.0,C,0.646,0.0098,0
20240424,13654.0,C,0.701,0.0412,0
20240425,13654.0,C,0.554,0.0028,0
20240426,13654.0,C,0.317,0.0089,0
20240428,13654.0,C,0.73,0.2176,0
20240430,13654.0,M,0.933,0.047,1
20240503,13663.0,X,0.808,0.0019,1
20240504,13663.0,M,0.979,0.0441,1
20240507,13663.0,M,0.918,0.9957,1
20240508,13663.0,X,0.766,0.9906,1
20240508,13664.0,X,0.989,0.9968,1
20240511,13664.0,X,0.999,0.9971,1
20240514,13674.0,N,0.504,0.0554,0
20240515,13679.0,C,0.534,0.0019,0
20240517,13682.0,N,0.363,0.0021,0
20240518,13679.0,C,0.62,0.2019,0
20240518,13682.0,N,0.288,0.001,0
20240519,13682.0,N,0.272,0.259,0
20240519,13685.0,M,0.69,0.0063,1
20240521,13679.0,M,0.798,0.0224,1
20240521,13685.0,C,0.682,0.0205,0
20240522,13685.0,C,0.479,0.0273,0
20240523,13679.0,M,0.897,0.247,1
20240523,13685.0,C,0.472,0.7742,0
20240524,13685.0,M,0.528,0.0019,1
20240528,13691.0,C,0.344,0.0488,0
20240529,13691.0,M,0.652,0.0164,1
20240531,13692.0,N,0.175,0.1021,0
20240531,13691.0,C,0.497,0.0127,0
20240601,13691.0,C,0.557,0.0868,0
