id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X,prediction_date,MPlus_avg
99fecb8b-a160-4258-992f-52d29c4effac,13605,-15,31.0,True,AMOS_v1,2024/3/12 0:00,2024/3/13 0:00,2024/3/12 0:30,0.071800001,0.0053,,,0.0,20240312,0.012233333333333332
6b7496a6-d513-4660-b959-765d115601f8,13605,-14,46.0,True,AMOS_v1,2024/3/13 0:00,2024/3/14 0:00,2024/3/13 0:30,0.0403,0.0055,,,0.0,20240313,0.0055
48364282-a80c-4c33-bf69-d3c190c15ec5,13605,-13,71.19875336,True,DAFFS,2024/3/14 23:54,2024/3/15 23:54,2024/3/14 23:54,0.015936049,0.000531705,,,0.004996987,20240314,0.000531705
c0e542e9-3ce1-48ea-884d-c9e34e710529,13606,9,-1.0,True,MAG4_LOS_FEr,2024/3/15 0:00,2024/3/16 0:00,2024/3/15 0:00,,0.0,,0.0,0.0,20240315,0.0
da1f7018-110b-4192-a5e1-9aeae1a63877,13607,-18,-44.0,True,ASAP_1,2024/3/13 0:00,2024/3/14 0:00,2024/3/13 0:00,,0.065099999,0.312999994,0.065099999,0.0,20240313,0.06255000000000001
3b087666-8b88-495a-b35a-d7fc3022de10,13607,-17,-32.0,True,MAG4_LOS_FEr,2024/3/14 0:00,2024/3/15 0:00,2024/3/14 0:00,,0.004,,0.003,0.001,20240314,0.0035
faf9531a-4c9f-4081-8776-235327c8a41f,13610,-16,-68.0,True,ASAP_1,2024/3/14 0:00,2024/3/15 0:00,2024/3/14 0:00,,0.0116,0.093999997,0.0116,0.0,20240314,0.0158
77c780a6-53c7-4164-a55a-27dc80b91e1d,13610,-16,-55.0,True,AMOS_v1,2024/3/15 0:00,2024/3/16 0:00,2024/3/15 0:30,0.068300001,0.0034,,,0.0,20240315,0.0034
aa248eab-d4cf-471a-9c5d-fbd3fea85300,13611,26,-59.0,True,NOAA_1,2024/3/15 0:00,2024/3/16 0:00,2024/3/14 22:00,,0.02,0.050000001,0.01,0.01,20240315,0.02
c27defb7-0648-43d6-8e27-fcc7b80abebd,13611,28,-48.0,True,AMOS_v1,2024/3/16 0:00,2024/3/17 0:00,2024/3/16 0:30,0.0407,0.0,,,0.0,20240316,0.0
1874c4a9-4539-4a49-9f7b-838ecb3b0c31,13612,23,57.0,True,ASAP_1,2024/3/16 0:00,2024/3/17 0:00,2024/3/16 0:00,,0.0115,0.093500003,0.0115,0.0,20240316,0.01575
c1677477-9215-47ba-8515-f159e35d78ed,13612,23,68.0,True,AMOS_v1,2024/3/17 0:00,2024/3/18 0:00,2024/3/17 0:30,0.024499999,0.0032,,,0.0,20240317,0.0032
62a6a48a-2021-4b3a-8e69-124671e7d0a2,13613,-23,17.0,True,MAG4_LOS_FEr,2024/3/17 0:00,2024/3/18 0:00,2024/3/17 0:00,,0.009,,0.008,0.001,20240317,0.025666667000000004
6011f6a0-63c3-454c-becd-bff25711b816,13613,-22,30.0,True,AMOS_v1,2024/3/18 0:00,2024/3/19 0:00,2024/3/18 0:30,0.136099994,0.0217,,,0.0,20240318,0.010233333333333334
ee9c309b-01a4-461e-b586-0e68df4c08e7,13614,16,-70.0,True,NOAA_1,2024/3/18 0:00,2024/3/19 0:00,2024/3/17 22:00,,0.250000004,0.600000024,0.200000003,0.050000001,20240318,0.250000004
2af6116b-61e8-474f-b7e7-0271d5455452,13614,16,-56.0,True,AMOS_v1,2024/3/19 0:00,2024/3/20 0:00,2024/3/19 0:30,0.068300001,0.0034,,,0.0,20240319,0.0034
629cd32f-91af-412e-936e-4c20baaf079a,13616,2,31.0,True,ASAP_1,2024/3/19 0:00,2024/3/20 0:00,2024/3/19 0:00,,0.15509999700000002,0.444999993,0.130999997,0.0241,20240319,0.047524999250000005
59cb4e16-ddce-45a0-99f3-2ca66e870561,13616,2,45.0,True,AMOS_v1,2024/3/20 0:00,2024/3/21 0:00,2024/3/20 0:30,0.464700013,0.083800003,,,0.0062,20240320,0.0474400006
ec945d63-ebc1-43fc-85a0-02b9892a3481,13616,2,59.0,True,MAG4_LOS_FEr,2024/3/21 0:00,2024/3/22 0:00,2024/3/21 0:00,,0.001,,0.001,0.0,20240321,0.001
d7be02b9-a488-4ebb-9fb4-fa634e4b0613,13617,-15,-70.0,True,ASAP_1,2024/3/21 0:00,2024/3/22 0:00,2024/3/21 0:00,,0.035,0.270999998,0.035,0.0,20240321,0.027500000000000004
bd0586f7-c67e-408d-af05-b833b633ad40,13617,-15,-56.0,True,AMOS_v1,2024/3/22 0:00,2024/3/23 0:00,2024/3/22 0:30,0.068300001,0.0034,,,0.0,20240322,0.018133333666666668
71b4bf1e-9bf8-437c-b8f0-61981d45ef12,13617,-14,-41.0,True,MAG4_LOS_FEr,2024/3/23 0:00,2024/3/24 0:00,2024/3/23 0:00,,0.008,,0.007,0.001,20240323,0.007
73284869-a189-4914-8280-e6f5a29b34f7,13619,17,-61.0,True,ASAP_1,2024/3/22 0:00,2024/3/23 0:00,2024/3/22 0:00,,0.064300001,0.308999985,0.064300001,0.0,20240322,0.057150001
21056e6d-5144-46ce-9660-36080f5dddf4,13619,20,-46.0,True,AMOS_v1,2024/3/23 0:00,2024/3/24 0:00,2024/3/23 0:30,0.286300004,0.041900001,,,0.0,20240323,0.041900001
3483e5a6-bd41-4607-a3d5-a19f0610876e,13619,18,24.0,True,MAG4_LOS_FEr,2024/3/28 0:00,2024/3/29 0:00,2024/3/28 0:00,,0.012,,0.01,0.002,20240328,0.011
11f49af9-d388-403b-920f-5a6580f83061,13619,19,39.0,True,MAG4_LOS_FEr,2024/3/29 0:00,2024/3/30 0:00,2024/3/29 0:00,,0.005,,0.004,0.001,20240329,0.0045000000000000005
a88464be-8cf0-4aba-a456-aeb192c5f480,13619,17,52.0,True,AMOS_v1,2024/3/30 0:00,2024/3/31 0:00,2024/3/30 0:30,0.068300001,0.0034,,,0.0,20240330,0.01068
ba62cf18-2dfe-4aec-bed4-ac10de80b935,13619,18,66.0,True,AMOS_v1,2024/3/31 0:00,2024/4/1 0:00,2024/3/31 0:30,0.0407,0.0,,,0.0,20240331,0.0055
985836f9-a7fd-4e1b-989a-291bd40b42f8,13620,-10,-74.0,True,NOAA_1,2024/3/23 0:00,2024/3/24 0:00,2024/3/22 22:00,,0.0,0.150000006,0.0,0.0,20240323,0.0
636e2ec2-db82-456f-903c-f6a25e96499e,13620,-10,-61.0,True,AMOS_v1,2024/3/24 0:00,2024/3/25 0:00,2024/3/24 0:30,0.071800001,0.0053,,,0.0,20240324,0.0017666666666666666
