id,noaaID,lat,lon,hasNOAAMeta,model,prediction_window_start,prediction_window_end,issue_time,CPlus,MPlus,C,M,X
a3a62eb0-b734-40d9-90d6-ac74bb643407,13490,23,-65.0,True,MAG4_LOS_r,2023/11/20 0:00,2023/11/21 0:00,2023/11/20 0:00,,0.009,,0.008,0.001
d56ea546-bb29-4f6b-a5e5-64ac7c6b1133,13491,11,-68.0,True,ASAP_1,2023/11/20 0:00,2023/11/21 0:00,2023/11/20 0:00,,0.038699999,0.199000001,0.038699999,0.0
23c17f38-1cd8-44a3-bacc-e2173b17248f,13491,11,-68.0,True,NOAA_1,2023/11/20 0:00,2023/11/21 0:00,2023/11/19 22:00,,0.02,0.050000001,0.01,0.01
cc27af18-8d5a-40cd-8be5-1ac868f2f6e7,13491,13,-55.0,True,AMOS_v1,2023/11/21 0:00,2023/11/22 0:00,2023/11/21 0:30,0.0407,0.0,,,0.0
e1c8fd72-b286-4f27-88ab-384152ddf7c7,13494,-15,-78.0,True,NOAA_1,2023/11/21 0:00,2023/11/22 0:00,2023/11/20 22:00,,0.02,0.050000001,0.01,0.01
c693a12f-e700-4c02-88fc-eb9f68ee1da9,13494,-17,-37.0,True,MAG4_LOS_FEr,2023/11/24 0:00,2023/11/25 0:00,2023/11/24 0:00,,0.148000002,,0.125,0.026000001
08ba27f1-bfce-4952-a934-dc50e53836ef,13494,-17,-37.0,True,MAG4_LOS_r,2023/11/24 0:00,2023/11/25 0:00,2023/11/24 0:00,,0.122000001,,0.108000003,0.016000001
e324bc40-8f9b-4db5-8dac-9671a10368b4,13496,9,-22.0,True,AMOS_v1,2023/11/22 0:00,2023/11/23 0:00,2023/11/22 0:30,0.0403,0.0055,,,0.0
7b20aa4e-ceaf-485a-bf46-89ef70d38e52,13497,16,-50.0,True,ASAP_1,2023/11/21 0:00,2023/11/22 0:00,2023/11/21 0:00,,0.0647,0.31099999,0.0647,0.0
3bd2c365-2899-47f9-9777-9fa0853cbbc9,13498,-11,26.0,True,ASAP_1,2023/11/22 0:00,2023/11/23 0:00,2023/11/22 0:00,,0.0568,0.291000009,0.0568,0.0
4bf3f9f7-d2ec-430f-ba69-f4c8e0f8fcd1,13498,-11,26.0,True,MAG4_LOS_FEr,2023/11/22 0:00,2023/11/23 0:00,2023/11/22 0:00,,0.008,,0.007,0.001
767e2ec5-c81e-446b-bb93-78e46b46ba1c,13498,-11,26.0,True,MAG4_LOS_r,2023/11/22 0:00,2023/11/23 0:00,2023/11/22 0:00,,0.006,,0.006,0.0
091137de-585a-4639-91cb-d054f5f994ee,13498,-11,26.0,True,NOAA_1,2023/11/22 0:00,2023/11/23 0:00,2023/11/21 22:00,,0.0,0.150000006,0.0,0.0
742b6958-89bf-438e-baa2-992293a18dc1,13498,-11,40.0,True,AMOS_v1,2023/11/23 0:00,2023/11/24 0:00,2023/11/23 0:30,0.136099994,0.0217,,,0.0
82e3ab5e-ffec-4831-beac-21c998a9a3a4,13498,-11,40.0,True,MAG4_LOS_FEr,2023/11/23 0:00,2023/11/24 0:00,2023/11/23 0:00,,0.009,,0.008,0.001
1415e16b-c164-4df7-88ce-78aa02a4d669,13498,-11,40.0,True,MAG4_LOS_r,2023/11/23 0:00,2023/11/24 0:00,2023/11/23 0:00,,0.007,,0.006,0.001
c7928351-619a-4cf8-a2cb-fda84fc0df6b,13498,-11,40.0,True,NOAA_1,2023/11/23 0:00,2023/11/24 0:00,2023/11/22 22:00,,0.060000001000000004,0.25,0.050000001,0.01
d68ed458-f205-4bce-890b-19613bba017c,13498,-12,65.0,True,AMOS_v1,2023/11/24 0:00,2023/11/25 0:00,2023/11/24 0:30,0.253199995,0.0317,,,0.0012
037619ba-c229-46a4-a703-23d01ffbc6c7,13500,-19,-23.0,True,MAG4_LOS_FEr,2023/11/27 0:00,2023/11/28 0:00,2023/11/27 0:00,,0.001,,0.001,0.0
3a594789-fcd0-4366-8a48-fdc55e05aee7,13500,-19,-23.0,True,MAG4_LOS_r,2023/11/27 0:00,2023/11/28 0:00,2023/11/27 0:00,,0.001,,0.001,0.0
