CLASS,noaaID,FITS文件,NOAA_NUM,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
N,13501,hmi.sharp_cea_720s.10434.20231129_060000_TAI.magnetogram.fits,1,-0.7614169405579886,-0.44629611814388687,-0.8038484480932316,-0.37365359541742904,-0.4338337898278029,-0.7471801417657439,-0.7936966891790084,2.311053710387666,-2.1486813627381376,2.0999897178966624
N,13501,hmi.sharp_cea_720s.10434.20231129_063600_TAI.magnetogram.fits,1,-0.7530936266604477,-0.4402236778248381,-0.7859624540581696,-0.3426115103454672,-0.3731650828525548,-0.7376052209719591,-0.7922195560979381,2.023231076509264,-2.1486813627381376,1.9636936198289685
N,13501,hmi.sharp_cea_720s.10434.20231129_071200_TAI.magnetogram.fits,1,-0.7313135260416563,-0.4377074318568076,-0.7622628944757464,-0.3556940627503167,-0.4160557737219807,-0.7291876136243522,-0.7895731003503678,1.9910898174616871,-2.1486813627381376,1.6949831870820553
N,13501,hmi.sharp_cea_720s.10434.20231129_074800_TAI.magnetogram.fits,1,-0.7458181323678051,-0.4452872618185611,-0.7836536731873123,-0.35844225895053733,-0.43006584023565864,-0.7366246742324192,-0.7832955516959677,2.289802970970709,-2.1486813627381376,1.803471320686137
N,13512,hmi.sharp_cea_720s.10484.20231208_074800_TAI.magnetogram.fits,1,-0.8469783369169721,-0.6446403052660794,-0.897313447644034,-0.5405758803922693,-0.6226531875495533,-0.8693335979128524,-0.9323553858668239,-1.1593047337297038,-0.3732660774163157,-1.5147791473620482
N,13512,hmi.sharp_cea_720s.10484.20231208_082400_TAI.magnetogram.fits,1,-0.8478064446071839,-0.6446544286929791,-0.8978280965190706,-0.5373747521587613,-0.61185159044461,-0.8701904233085905,-0.9306284786196463,-1.1579458828421463,-0.22991242234857295,-1.2502166986480658
N,13512,hmi.sharp_cea_720s.10484.20231208_091200_TAI.magnetogram.fits,1,-0.8546025621234232,-0.6454077008268423,-0.9038667945153147,-0.5524333003179785,-0.6440337807746634,-0.8734803195394173,-0.9300026321290961,-1.2066056672753633,-0.3632584369314808,-1.4266961891156185
N,13512,hmi.sharp_cea_720s.10484.20231208_094800_TAI.magnetogram.fits,1,-0.8572407324777083,-0.6458459453610458,-0.9058769027666982,-0.5582180058272613,-0.6613680668025598,-0.8744230751542585,-0.9316337157725594,-1.2609374293765048,-2.1486813627381376,-1.5211913897752702
N,13512,hmi.sharp_cea_720s.10484.20231208_102400_TAI.magnetogram.fits,1,-0.8568851294973454,-0.6455462631854103,-0.9046687966951383,-0.5572008300812856,-0.6485516000662142,-0.8732546673756951,-0.9349981369547603,-1.2432526386790648,-0.5489685538925664,-1.4484664512132417
N,13512,hmi.sharp_cea_720s.10484.20231208_110000_TAI.magnetogram.fits,1,-0.8547263650296683,-0.6454625362785095,-0.8996193968558306,-0.5465161311183214,-0.6413097415102225,-0.8702530882262436,-0.9322074501085937,-1.2957949482245272,-0.460217394168474,-1.3965371777578477
N,13512,hmi.sharp_cea_720s.10484.20231208_113600_TAI.magnetogram.fits,1,-0.8563364932960844,-0.6455903221188998,-0.9017255770807503,-0.5475066931673913,-0.6364104394445034,-0.8720731690201411,-0.9302539531886435,-1.284310667610706,-0.6629183588133243,-1.2952649775181004
N,13512,hmi.sharp_cea_720s.10484.20231208_121200_TAI.magnetogram.fits,1,-0.8518644104930263,-0.6453520586169835,-0.89794702608581,-0.5392413057468944,-0.6243790860932276,-0.8706108500469716,-0.9335105387076467,-1.2634128176421597,-0.5200997315828105,-1.2396212213593563
N,13512,hmi.sharp_cea_720s.10484.20231208_124800_TAI.magnetogram.fits,1,-0.8562690058446585,-0.6457659668569237,-0.9049526917598574,-0.5422446525325,-0.6406706209063423,-0.8746400084422289,-0.9355046071933074,-1.2375772116746988,-0.8173546275504144,-1.4060118490477516
N,13512,hmi.sharp_cea_720s.10484.20231208_132400_TAI.magnetogram.fits,1,-0.8584075940737176,-0.645937834352516,-0.9069250479460059,-0.5558089027454653,-0.664246382607246,-0.8752668566603493,-0.934851040327828,-1.255624717203141,-0.9675337865727685,-1.4360900249100714
N,13512,hmi.sharp_cea_720s.10484.20231208_140000_TAI.magnetogram.fits,1,-0.8563132506355734,-0.6458518849989098,-0.9035648276889677,-0.5521345174430681,-0.6485277944508012,-0.8738339574653976,-0.9387520563150028,-1.2747343879247774,-2.1486813627381376,-1.2534992857131446
N,13512,hmi.sharp_cea_720s.10484.20231208_143600_TAI.magnetogram.fits,1,-0.8546099371496215,-0.645842809480288,-0.9017404939347395,-0.5405466953975389,-0.644864044592498,-0.8736952568713325,-0.9398145537361984,-1.272291708965918,-2.1486813627381376,-1.2618083819012376
N,13512,hmi.sharp_cea_720s.10484.20231208_151200_TAI.magnetogram.fits,1,-0.8553340803174088,-0.6458058190507283,-0.9023870251947548,-0.5440828260423292,-0.6369221003471118,-0.8731617319198588,-0.9416957799478899,-1.2731912493486468,-2.1486813627381376,-1.1793155496387189
