NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11542,2012.08.11_12:24:00_TAI,1,C,-0.266789373,-0.370939472,-0.245817918,0.398246391,0.708675853,-0.342289376,-0.083084695,-0.241537486,0.72023571,-0.313971157
11542,2012.08.11_13:00:00_TAI,1,C,-0.293138903,-0.377558157,-0.289025257,0.354800351,0.62177195,-0.356225085,-0.106399169,-0.225363884,0.696230128,-0.31620221
11542,2012.08.11_13:36:00_TAI,1,C,-0.301446691,-0.379200052,-0.294436228,0.369304576,0.685202591,-0.362965613,-0.099311171,-0.208782859,0.705146487,-0.348614452
11542,2012.08.11_14:12:00_TAI,1,C,-0.304128472,-0.384046426,-0.298652179,0.356466227,0.604564238,-0.364349719,-0.092940232,-0.23502823,0.685256148,-0.368941823
11542,2012.08.11_14:48:00_TAI,1,C,-0.273117436,-0.387227763,-0.269247121,0.405753937,0.60692336,-0.355031256,-0.090726519,-0.270943648,0.643417849,-0.390074853
11542,2012.08.11_15:24:00_TAI,1,C,-0.27418265,-0.38511097,-0.250351024,0.344460815,0.546525876,-0.341798016,-0.087493036,-0.319477046,0.694858381,-0.394413011
11542,2012.08.11_16:00:00_TAI,1,C,-0.254887498,-0.38447263,-0.236871208,0.355096506,0.577728732,-0.323308486,-0.076024154,-0.365313616,0.71474872,-0.470268813
11542,2012.08.11_16:36:00_TAI,1,C,-0.253055536,-0.376642351,-0.201653425,0.352923464,0.517148862,-0.305732825,-0.086557751,-0.431093219,0.656449451,-0.36032748
11594,2012.10.18_19:12:00_TAI,1,C,-0.012089253,-0.462192234,0.010415048,-0.141304854,0.427294074,0.140191986,0.166606205,-1.036826833,-0.292799824,-1.351286846
11594,2012.10.18_19:48:00_TAI,1,C,0.021483003,-0.447667382,0.067209186,-0.19147733,0.277726145,0.201963416,0.178806102,-1.042198633,-0.101441047,-1.313916708
11594,2012.10.18_20:24:00_TAI,1,C,-0.00129229,-0.440320077,0.081428775,-0.297652847,0.017655463,0.261129151,0.178249111,-1.068687031,-0.281825844,-1.308834865
11594,2012.10.18_21:00:00_TAI,1,C,-0.037370628,-0.447298528,0.056080333,-0.354755366,-0.112286059,0.281354311,0.173694958,-1.10565177,-0.289370456,-1.320981709
11594,2012.10.18_21:36:00_TAI,1,C,-0.055799053,-0.454448811,0.030417013,-0.37096989,-0.008364164,0.269357724,0.165347014,-1.117139183,-0.172086044,-1.325939605
11594,2012.10.18_22:12:00_TAI,1,C,-0.071444248,-0.460012402,0.014422725,-0.344930401,-0.053120869,0.25723013,0.167777744,-1.125970866,-0.180316529,-1.346019082
11594,2012.10.18_22:48:00_TAI,1,C,-0.071367058,-0.461996826,0.005336407,-0.301565804,-0.008258004,0.234606461,0.165807829,-1.115586701,-0.151509831,-1.345585266
11594,2012.10.18_23:24:00_TAI,1,C,-0.070482688,-0.464591869,-0.005966198,-0.309658258,-0.017183711,0.213943267,0.164237706,-1.10994099,-0.230385313,-1.372110007
11594,2012.10.19_00:00:00_TAI,1,C,-0.063601067,-0.465573462,-0.007905543,-0.30125484,-0.014052423,0.206647897,0.161770465,-1.106983317,-0.615846362,-1.373659349
11594,2012.10.19_00:36:00_TAI,1,C,-0.065707235,-0.464844216,-0.008111921,-0.254191999,0.144730255,0.202836598,0.162218835,-1.104067693,-0.44917904,-1.376820007
11594,2012.10.19_01:12:00_TAI,1,C,-0.083995249,-0.467338734,-0.019216874,-0.283315209,-0.022951665,0.197279513,0.166533414,-1.113787391,-0.56234821,-1.359529347
11594,2012.10.19_01:48:00_TAI,1,C,-0.102541296,-0.474015613,-0.03673244,-0.325313788,-0.022313711,0.181723828,0.144352536,-1.126531518,-0.716669804,-1.360025136
11594,2012.10.19_02:24:00_TAI,1,C,-0.099894801,-0.471029514,-0.025840314,-0.280675722,-0.024019019,0.192509618,0.148445418,-1.125311863,-0.199520994,-1.366780269
