CLASS,noaaID,FITS文件,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
M,13691,hmi.sharp_cea_720s.11275.20240529_053600_TAI.magnetogram.fits,2.3337773499140244,1.4917226545943372,2.5988094691064396,0.13476578706232434,-0.31663035366897874,2.8242067987431034,2.569752460133676,-0.02873247601455318,1.1634557457974224,0.01093567863817851
M,13691,hmi.sharp_cea_720s.11275.20240529_054800_TAI.magnetogram.fits,2.333354524193969,1.4850702164113698,2.5849599461863613,0.14209214422431954,-0.12353835769809848,2.80835742682881,2.5697648308321908,-0.02720006791549375,1.1709216645620466,0.0397858241419659
M,13691,hmi.sharp_cea_720s.11275.20240529_061200_TAI.magnetogram.fits,2.3541901898050264,1.4863792001383316,2.5748282599007455,0.2025576298036496,-0.2442802848437088,2.7884881419405216,2.5724024466590345,-0.0038288299163367944,1.177121293624796,0.018880504138624698
M,13691,hmi.sharp_cea_720s.11275.20240529_071200_TAI.magnetogram.fits,2.4878617788152377,1.4822236650592953,2.6088482323323454,0.1514383403950129,-0.4717028610058102,2.724536021343477,2.622546350126892,0.06765884125686908,1.2019672360710787,0.04227586651756542
M,13691,hmi.sharp_cea_720s.11275.20240529_073600_TAI.magnetogram.fits,2.5299501945781917,1.4793060679794203,2.649967833803506,0.17013977249869536,-0.5096696542187329,2.705953252650883,2.657430002130051,0.09822802958745824,1.1980051906764715,0.029997044060077818
M,13691,hmi.sharp_cea_720s.11275.20240529_074800_TAI.magnetogram.fits,2.580155652711237,1.4925725565594086,2.682779502974706,0.13191776589981938,-0.40344956183487035,2.7099705686774853,2.6647152683798208,0.10933860357983925,1.2142337214251242,0.03717947294932416
M,13691,hmi.sharp_cea_720s.11275.20240529_084800_TAI.magnetogram.fits,2.5054996590600447,1.4846946838275596,2.6493705238445937,0.3401213341791038,0.05658513991390586,2.714994738520703,2.6327570703045184,0.08115137210839286,1.1900703046838756,0.026075934727474367
M,13691,hmi.sharp_cea_720s.11275.20240529_091200_TAI.magnetogram.fits,2.469719226128995,1.4792009806620972,2.6511083576677916,0.49185509176197106,0.0022130044874387493,2.7220352417995115,2.635527736021684,0.040935119051960525,1.1829579116838689,0.040942783293844286
M,13691,hmi.sharp_cea_720s.11275.20240529_092400_TAI.magnetogram.fits,2.4477834153204885,1.4768121201926365,2.634268461052591,0.4815800581645056,0.07729335011166828,2.71502904708124,2.6438777597859007,0.02885401533739491,1.2057274989506344,0.051125177746706676
M,13691,hmi.sharp_cea_720s.11275.20240529_103600_TAI.magnetogram.fits,2.2564576769892133,1.408791166723756,2.4687761904225676,0.2729254605331059,-0.18306153694911065,2.6544099180182017,2.6141628352608017,-0.03920217897485105,1.2107687697699678,0.05279548713134925
M,13691,hmi.sharp_cea_720s.11275.20240529_104800_TAI.magnetogram.fits,2.262320935288147,1.4121841721259123,2.4648995556954554,0.15790590533177512,-0.4429123473664382,2.639678122215302,2.5963467307478565,-0.03133273406032286,1.1863093833929312,0.0771552620431623
M,13691,hmi.sharp_cea_720s.11275.20240529_111200_TAI.magnetogram.fits,2.240799342106402,1.4106172465827438,2.4247435468166927,0.21127961224907457,-0.2366295398923671,2.607737406370776,2.6184233853944305,-0.005549497667144992,1.2072511657791312,0.08198712246113324
M,13691,hmi.sharp_cea_720s.11275.20240529_120000_TAI.magnetogram.fits,2.2940428543852125,1.4521759190917272,2.4847661037449082,0.06731324635714067,-0.3702883107211975,2.5865979833683426,2.6320637179873465,0.043703570258484654,1.2138612251823915,0.14311917427615645
M,13691,hmi.sharp_cea_720s.11275.20240529_122400_TAI.magnetogram.fits,2.2912811781075764,1.441762760291071,2.4879130411304686,0.03518448005811574,-0.30937517822954236,2.5830817627683897,2.6417621231730233,0.03924855269552021,1.2246550637320548,0.14372495556210646
M,13691,hmi.sharp_cea_720s.11275.20240529_123600_TAI.magnetogram.fits,2.3163943162775187,1.4460621175905637,2.5033081899673837,0.01289428823556137,-0.32565821600016326,2.5646102299890585,2.6421347394876364,0.05388792377338634,1.2304563607635453,0.16290464388702106
M,13691,hmi.sharp_cea_720s.11275.20240529_124800_TAI.magnetogram.fits,2.302374172853879,1.4436968803739938,2.492561052956514,0.029428905604834344,-0.3624732201658635,2.551629399995312,2.6626107789897806,0.06071608243272802,1.2324159645153847,0.17808993493867029
M,13691,hmi.sharp_cea_720s.11275.20240529_144800_TAI.magnetogram.fits,2.3124187150688673,1.4102184378632283,2.480725583771724,0.17760593132443242,-0.2550884235790853,2.4904660315529634,2.655415123064619,0.06722026477990806,1.2051512655340426,0.1926540756790997
M,13691,hmi.sharp_cea_720s.11275.20240529_144800_TAI.magnetogram_copy1.fits,2.3124187150688673,1.4102184378632283,2.480725583771724,0.17760593132443242,-0.2550884235790853,2.4904660315529634,2.655415123064619,0.06722026477990806,1.2051512655340426,0.1926540756790997
M,13691,hmi.sharp_cea_720s.11275.20240529_153600_TAI.magnetogram.fits,2.248445806259394,1.3819349390954747,2.407733399374927,0.011691159544734571,-0.34614510126621434,2.483598888940013,2.6554836129858677,0.03206695820527391,1.2197920303622014,0.1558791959570938
M,13691,hmi.sharp_cea_720s.11275.20240529_154800_TAI.magnetogram.fits,2.2157989104150118,1.3659255956014582,2.350984116499245,0.050648711093711864,-0.32187847030150285,2.4448037670667433,2.6646829760369433,0.04542203585028341,1.1809898103100536,0.14996484179355196
M,13691,hmi.sharp_cea_720s.11275.20240529_161200_TAI.magnetogram.fits,2.2012608258835,1.355752135680491,2.3542182524743334,0.09295648665197563,-0.407081644583834,2.449449267354335,2.687532026944447,0.025584118033433353,1.2167594218015618,0.13917394548937942
M,13691,hmi.sharp_cea_720s.11275.20240529_170000_TAI.magnetogram.fits,2.194275163372178,1.3479458269416842,2.3557928345746673,0.11399006267256077,-0.4118130300991743,2.46324748942501,2.685342771699148,-0.0016152990244022627,1.196826874337859,0.11445897876976707
M,13691,hmi.sharp_cea_720s.11275.20240529_172400_TAI.magnetogram.fits,2.2214134308379476,1.3444357490371666,2.402864219665471,-0.011673597928299157,-0.42710116674188087,2.475626901028881,2.686359554137036,-0.007260423180523385,1.196080578746521,0.11070500138978569
M,13691,hmi.sharp_cea_720s.11275.20240529_174800_TAI.magnetogram.fits,2.289138314206969,1.3442802911593936,2.458094605992706,0.021312157826000547,-0.3814238134662875,2.4834291755424904,2.6775340185179117,0.008115630663151904,1.1934544774918725,0.10588271562667043
M,13691,hmi.sharp_cea_720s.11275.20240529_183600_TAI.magnetogram.fits,2.386405284282972,1.3364738064514585,2.5220513951502013,0.15288305136560093,-0.2307199898660288,2.442154580635853,2.6648579701338195,0.0715617226803885,1.1704831077100564,0.08272222046091646
M,13695,hmi.sharp_cea_720s.11275.20240602_154800_TAI.magnetogram.fits,1.7066284131103135,0.15955971957970666,1.9478946040559795,0.7775834504870021,1.204729789890514,2.4747310176597974,1.9208059455037052,-0.8973277616322332,0.7428852046415345,-0.9624902545967684
M,13695,hmi.sharp_cea_720s.11275.20240602_161200_TAI.magnetogram.fits,1.7129606250417024,0.1538891939558213,1.9255312575870034,0.9208797930474394,1.4397882798854125,2.441125110292957,1.8930373854061084,-0.8871185833474852,0.7392155281954371,-0.9740486911778561
M,13695,hmi.sharp_cea_720s.11275.20240602_170000_TAI.magnetogram.fits,1.7587525718673565,0.14879621106492935,1.9478618277654756,1.149411102934548,1.6484017446598793,2.4173029656123197,1.869294356887034,-0.8767294979364217,0.6765295036299088,-1.0067274034116847
M,13695,hmi.sharp_cea_720s.11275.20240602_172400_TAI.magnetogram.fits,1.796832181675792,0.13114056307695987,2.0004025666565144,1.2731898102181631,2.1263532087534593,2.443857462521307,1.8620573623139876,-0.9002363908310141,0.6037508074921727,-1.024679148138693
M,13695,hmi.sharp_cea_720s.11275.20240602_174800_TAI.magnetogram.fits,1.7422254223488998,0.11888143267416777,1.9626596628499258,1.2178212846661856,2.0733290904722996,2.4483535171430164,1.8493291123009974,-0.9181427610100464,0.5978543425813152,-1.0246391366166157
M,13695,hmi.sharp_cea_720s.11275.20240602_183600_TAI.magnetogram.fits,1.6842008530269048,0.11349759450839897,1.9371576527326102,0.9521174579298651,1.5017298820067366,2.5016064914953624,1.8001108855872587,-0.9478644887119106,0.6457177641819273,-1.0353995941944099
M,13695,hmi.sharp_cea_720s.11275.20240602_190000_TAI.magnetogram.fits,1.5650863730959808,0.10882217912824649,1.814440076231184,0.7047131159304839,1.2851702958310405,2.5109746791180108,1.7963258349501985,-0.9567971987113498,0.6019220218529766,-1.0513665532515661
M,13695,hmi.sharp_cea_720s.11275.20240602_191200_TAI.magnetogram.fits,1.5501656584499917,0.11331912083280972,1.8056369829508285,0.5962587306669183,1.109935044891658,2.5194199520347276,1.7830363927098671,-0.9564218386889705,0.562275224592936,-1.0475277667394394
M,13695,hmi.sharp_cea_720s.11275.20240602_201200_TAI.magnetogram.fits,1.5146312729063434,0.11799644294694546,1.7975693114822069,0.4894771937656358,0.7989915603813289,2.5689994635080704,1.7617508448512476,-0.9664349274232699,0.6598947947809581,-1.0748845499169415
M,13695,hmi.sharp_cea_720s.11275.20240602_203600_TAI.magnetogram.fits,1.5435446747603847,0.132014085884386,1.8419160460312027,0.3216735743894405,0.8279691356291581,2.5720754091892797,1.739292218626548,-0.9534712188077202,0.6209038712816435,-1.0691515180262088
M,13695,hmi.sharp_cea_720s.11275.20240602_210000_TAI.magnetogram.fits,1.591580886032248,0.13365292253778274,1.8817729257364915,0.3006252578555624,0.6005156602296369,2.568117355502148,1.737661733373916,-0.9453963483288202,0.6234576981695596,-1.088560340546053
M,13695,hmi.sharp_cea_720s.11275.20240602_214800_TAI.magnetogram.fits,1.6035602791538703,0.13593973537582751,1.8697430180366807,0.6281081231492137,1.1901822397949746,2.505297111540132,1.7175507715988774,-0.921756349531907,0.7005957909745313,-1.0646619115474663
