T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230522,LLM_VIT,BSS,"13310,13312",0.731,0.716,0.783,0.758,0.624,0.699,0.79,0.775,0.684,0.874,13312,0.743,C,13312.0,20230523
20230522,LLM_VIT,BSS,"13311,13313,13314",0.642,0.662,0.64,0.698,0.607,0.509,0.76,0.656,0.567,0.847,13313,0.658,M,13311.0,20230523
20230523,LLM_VIT,BSS,"13310,13312",0.55,0.583,0.578,0.606,0.58,0.424,0.718,0.546,0.465,0.758,13312,0.58,C,13312.0,20230524
20230523,LLM_VIT,BSS,"13311,13313,13314",0.792,0.752,0.819,0.796,0.663,0.722,0.804,0.785,0.753,0.91,13311,0.779,M,13311.0,20230524
20230524,LLM_VIT,BSS,"13310,13312",0.483,0.503,0.493,0.534,0.548,0.318,0.656,0.439,0.384,0.67,13312,0.502,M,13312.0,20230525
20230524,LLM_VIT,BSS,"13311,13313,13314",0.734,0.732,0.741,0.731,0.663,0.64,0.802,0.734,0.677,0.886,13311,0.733,C,13311.0,20230525
20230525,LLM_VIT,BSS,"13310,13312",0.5,0.503,0.51,0.54,0.546,0.329,0.654,0.448,0.407,0.683,13312,0.512,C,13310.0,20230526
20230525,LLM_VIT,BSS,"13311,13313,13314",0.687,0.656,0.702,0.688,0.621,0.561,0.745,0.674,0.63,0.839,13314,0.68,C,13314.0,20230526
20230525,LLM_VIT,BSS,13315,0.701,0.47,0.679,0.682,0.455,0.467,0.58,0.72,0.693,0.757,13315,0.62,M,13315.0,20230526
20230526,LLM_VIT,BSS,"13310,13312",0.519,0.495,0.552,0.569,0.529,0.366,0.642,0.509,0.455,0.701,13312,0.533,C,13312.0,20230527
20230526,LLM_VIT,BSS,"13311,13313,13314",0.557,0.516,0.574,0.594,0.545,0.397,0.645,0.557,0.507,0.715,13311,0.56,C,13314.0,20230527
20230526,LLM_VIT,BSS,13315,0.809,0.632,0.81,0.782,0.543,0.669,0.707,0.828,0.8,0.88,13315,0.746,C,13315.0,20230527
20230527,LLM_VIT,BSS,"13310,13312",0.559,0.521,0.611,0.62,0.533,0.446,0.663,0.596,0.519,0.749,13310,0.581,N,13312.0,20230528
20230527,LLM_VIT,BSS,"13311,13313,13314",0.587,0.543,0.622,0.644,0.535,0.462,0.659,0.626,0.551,0.752,13313,0.598,C,13314.0,20230528
20230527,LLM_VIT,BSS,13315,0.684,0.604,0.653,0.708,0.542,0.482,0.736,0.706,0.647,0.823,13315,0.658,M,13315.0,20230528
20230528,LLM_VIT,BSS,"13310,13312",0.534,0.494,0.601,0.61,0.503,0.445,0.641,0.61,0.499,0.695,13312,0.563,C,13310.0,20230529
20230528,LLM_VIT,BSS,"13311,13313,13314",0.633,0.565,0.703,0.709,0.53,0.58,0.682,0.74,0.647,0.809,13311,0.659,N,13314.0,20230529
20230528,LLM_VIT,BSS,13315,0.559,0.487,0.545,0.621,0.497,0.341,0.657,0.566,0.495,0.715,13315,0.548,C,13315.0,20230529
20230528,LLM_VIT,BSS,13316,0.243,0.104,0.212,0.243,0.236,0.083,0.209,0.261,0.226,0.175,13316,0.199,N,13316.0,20230529
20230529,LLM_VIT,BSS,13315,0.596,0.5,0.586,0.638,0.496,0.387,0.656,0.604,0.528,0.732,13315,0.572,M,13315.0,20230530
20230529,LLM_VIT,BSS,13316,0.208,0.083,0.184,0.206,0.219,0.07,0.175,0.228,0.195,0.147,13316,0.171,N,13316.0,20230530
20230530,LLM_VIT,BSS,13315,0.699,0.589,0.705,0.702,0.529,0.548,0.698,0.735,0.636,0.818,13315,0.665,C,13315.0,20230531
20230530,LLM_VIT,BSS,13316,0.178,0.072,0.166,0.18,0.213,0.064,0.166,0.203,0.18,0.121,13316,0.154,N,13316.0,20230531
20230531,LLM_VIT,BSS,13315,0.655,0.536,0.672,0.669,0.5,0.507,0.65,0.707,0.605,0.773,13315,0.627,C,13315.0,20230601
20230531,LLM_VIT,BSS,13316,0.148,0.062,0.142,0.146,0.201,0.054,0.14,0.167,0.142,0.099,13316,0.13,N,13316.0,20230601
20230531,LLM_VIT,BSS,13319,0.453,0.294,0.381,0.475,0.377,0.177,0.44,0.425,0.397,0.483,13319,0.39,N,13319.0,20230601
20230601,LLM_VIT,BSS,13316,0.146,0.064,0.15,0.144,0.196,0.055,0.134,0.161,0.143,0.098,13316,0.129,N,13316.0,20230602
20230601,LLM_VIT,BSS,13319,0.459,0.31,0.412,0.501,0.389,0.203,0.472,0.451,0.408,0.512,13319,0.411,C,13319.0,20230602
20230601,LLM_VIT,BSS,13320,0.358,0.161,0.349,0.363,0.273,0.158,0.28,0.401,0.357,0.289,13320,0.298,N,13320.0,20230602
20230601,LLM_VIT,BSS,13321,0.443,0.258,0.423,0.48,0.345,0.208,0.406,0.468,0.424,0.46,13321,0.391,N,13321.0,20230602
20230602,LLM_VIT,BSS,13319,0.481,0.348,0.461,0.531,0.405,0.253,0.506,0.5,0.434,0.562,13319,0.448,C,13319.0,20230603
20230602,LLM_VIT,BSS,13320,0.299,0.139,0.286,0.299,0.27,0.127,0.25,0.329,0.296,0.244,13320,0.253,N,13320.0,20230603
20230602,LLM_VIT,BSS,13321,0.443,0.262,0.408,0.471,0.353,0.197,0.41,0.451,0.41,0.457,13321,0.386,N,13321.0,20230603
20230602,LLM_VIT,BSS,13323,0.566,0.423,0.574,0.612,0.442,0.384,0.564,0.616,0.54,0.677,13323,0.539,C,13323.0,20230603
20230603,LLM_VIT,BSS,13320,0.288,0.133,0.262,0.28,0.266,0.108,0.238,0.297,0.274,0.216,13320,0.236,N,13320.0,20230604
20230603,LLM_VIT,BSS,13321,0.412,0.241,0.378,0.438,0.355,0.173,0.388,0.404,0.382,0.425,13321,0.359,N,13321.0,20230604
20230603,LLM_VIT,BSS,13323,0.682,0.532,0.686,0.682,0.494,0.524,0.641,0.73,0.652,0.767,13323,0.639,C,13323.0,20230604
20230604,LLM_VIT,BSS,13320,0.283,0.13,0.243,0.274,0.262,0.095,0.235,0.277,0.26,0.2,13320,0.225,C,13320.0,20230605
20230604,LLM_VIT,BSS,13321,0.38,0.219,0.333,0.403,0.347,0.14,0.369,0.356,0.344,0.38,13321,0.327,N,13321.0,20230605
20230604,LLM_VIT,BSS,13323,0.582,0.445,0.557,0.594,0.465,0.365,0.58,0.61,0.544,0.698,13323,0.544,C,13323.0,20230605
20230604,LLM_VIT,BSS,13325,0.159,0.067,0.139,0.166,0.212,0.048,0.161,0.167,0.151,0.131,13325,0.14,N,13325.0,20230605
20230604,LLM_VIT,BSS,13326,0.33,0.147,0.3,0.349,0.261,0.121,0.266,0.357,0.32,0.276,13326,0.272,N,13326.0,20230605
20230605,LLM_VIT,BSS,13320,0.291,0.131,0.254,0.283,0.261,0.1,0.241,0.295,0.271,0.214,13320,0.234,N,13320.0,20230606
20230605,LLM_VIT,BSS,13321,0.375,0.216,0.314,0.396,0.345,0.127,0.363,0.336,0.329,0.364,13321,0.316,N,13321.0,20230606
20230605,LLM_VIT,BSS,13323,0.451,0.319,0.399,0.466,0.41,0.206,0.469,0.431,0.395,0.523,13323,0.406,N,13323.0,20230606
