T_REC,noaaID,Class,one,MPlus,y_true
20230903,13418.0,N,0.206,0.0,0
20230905,13421.0,M,0.421,0.0055,1
20230909,13423.0,C,0.471,0.03449,0
20230909,13425.0,C,0.638,0.0317,0
20230910,13425.0,C,0.62,0.0838,0
20230915,13433.0,C,0.43,0.00233,0
20230916,13430.0,N,0.374,0.0055,0
20230916,13433.0,N,0.389,0.0,0
20230917,13434.0,N,0.76,0.0,0
20230917,13433.0,N,0.316,0.0,0
20230921,13440.0,N,0.382,0.003,0
20230925,13446.0,N,0.165,0.0032,0
20230926,13445.0,C,0.507,0.0838,0
20230930,13450.0,C,0.705,0.0716,0
20231001,13450.0,C,0.828,0.1096,0
20231013,13466.0,C,0.28,0.00243,0
20231014,13466.0,N,0.299,0.00789,0
20231015,13460.0,N,0.416,0.0225,0
20231015,13466.0,N,0.292,0.0217,0
20231017,13467.0,N,0.265,0.00789,0
20231019,13468.0,N,0.419,0.01013,0
20231020,13468.0,N,0.376,0.005,0
20231021,13468.0,N,0.311,0.0,0
20231024,13470.0,N,0.267,0.0032,0
20231025,13471.0,N,0.254,0.0014,0
20231027,13471.0,N,0.383,0.0217,0
20231030,13474.0,C,0.639,0.0685,0
20231101,13474.0,N,0.824,0.12049,0
20231103,13477.0,N,0.659,0.05599,0
20231106,13480.0,C,0.714,0.04726,0
20231107,13480.0,C,0.492,0.003,0
20231108,13482.0,N,0.163,0.0032,0
20231110,13483.0,C,0.43,0.03906,0
20231121,13489.0,C,0.919,0.082,0
20231124,13494.0,C,0.63,0.135,0
20231127,13500.0,C,0.798,0.001,0
20231129,13503.0,N,0.234,0.0,0
20231201,13508.0,N,0.402,0.00666,0
20231202,13508.0,N,0.422,0.0,0
20231203,13508.0,N,0.398,0.001,0
20231209,13514.0,N,0.367,0.00763,0
20231210,13514.0,N,0.319,0.0,0
20231211,13514.0,C,0.277,0.002,0
20231211,13516.0,C,0.439,0.0109,0
20231212,13516.0,N,0.372,0.0109,0
20231216,13519.0,N,0.356,0.0045,0
20231223,13531.0,N,0.486,0.0,0
20231225,13533.0,C,0.304,0.00183,0
20231226,13531.0,N,0.355,0.0125,0
20231226,13533.0,N,0.244,0.0,0
20231227,13533.0,N,0.216,0.00183,0
20231230,13534.0,C,0.41,0.009,0
20231231,13534.0,N,0.461,0.01423,0
20240101,13534.0,N,0.306,0.0119,0
20240103,13536.0,C,0.972,0.1096,0
20240110,13541.0,N,0.434,0.037,0
20240110,13544.0,N,0.162,0.0034,0
20240112,13546.0,N,0.586,0.1052,0
20240116,13553.0,C,0.538,0.021,0
20240211,13581.0,N,0.339,0.0,0
20240213,13584.0,N,0.502,0.00233,0
20240214,13584.0,C,0.427,0.0,0
20240218,13586.0,N,0.511,0.0035,0
20240219,13587.0,N,0.222,0.00183,0
20240222,13590.0,X,0.914,0.46313,1
20240223,13590.0,M,0.952,0.4111,1
20240224,13590.0,M,0.971,0.615,1
20240226,13594.0,N,0.307,0.0217,0
20240229,13596.0,C,0.53,0.01523,0
20240301,13597.0,N,0.257,0.0055,0
20240302,13598.0,C,0.399,0.0,0
20240302,13596.0,N,0.297,0.0025,0
20240304,13598.0,C,0.48,0.045,0
20240308,13604.0,N,0.378,0.00233,0
20240315,13606.0,N,0.201,0.0,0
20240321,13616.0,N,0.339,0.001,0
20240323,13617.0,N,0.529,0.007,0
20240327,13622.0,N,0.363,0.0,0
20240328,13619.0,N,0.367,0.011,0
20240329,13619.0,N,0.407,0.0045,0
20240329,13620.0,N,0.139,0.0,0
20240330,13619.0,N,0.417,0.00713,0
20240409,13633.0,N,0.468,0.0199,0
20240414,13636.0,N,0.468,0.0,0
20240417,13641.0,N,0.282,0.0,0
20240419,13641.0,N,0.322,0.001,0
20240425,13657.0,N,0.379,0.00349,0
20240428,13657.0,N,0.277,0.135,0
20240430,13660.0,N,0.246,0.00183,0
20240503,13663.0,X,0.936,1.0,1
20240504,13663.0,M,0.997,1.0,1
20240507,13667.0,N,0.394,0.012,0
20240515,13679.0,C,0.577,0.04149,0
20240518,13682.0,N,0.299,0.01649,0
20240519,13682.0,N,0.286,0.0145,0
20240520,13686.0,C,0.891,0.04611,0
20240521,13684.0,N,0.32,0.0025,0
20240524,13689.0,N,0.372,0.002,0
20240525,13686.0,C,0.625,0.06333,0
20240526,13690.0,N,0.312,0.0,0
20240529,13696.0,N,0.169,0.0,0
20240531,13697.0,X,0.949,0.19239,1
20240602,13695.0,N,0.782,0.09178,0
