T_REC,_modelTyp,JianceType,NOAA_ARS,CV0_prob,CV1_prob,CV2_prob,CV3_prob,CV4_prob,CV5_prob,CV6_prob,CV7_prob,CV8_prob,CV9_prob,Nmbr,one,Class,noaaID,predictday
20230616,LLM_VIT,TSS,13331,0.43,0.356,0.462,0.378,0.409,0.435,0.356,0.508,0.435,0.389,13331,0.415,C,13331.0,20230617
20230616,LLM_VIT,TSS,13333,0.402,0.366,0.307,0.364,0.359,0.343,0.353,0.379,0.377,0.413,13333,0.366,C,13333.0,20230617
20230616,LLM_VIT,TSS,13334,0.202,0.14,0.218,0.194,0.238,0.231,0.234,0.239,0.221,0.208,13334,0.212,N,13334.0,20230617
20230616,LLM_VIT,TSS,"13335,13336",0.681,0.69,0.855,0.694,0.769,0.806,0.739,0.794,0.703,0.907,13336,0.763,C,13335.0,20230617
20230617,LLM_VIT,TSS,13333,0.456,0.413,0.419,0.395,0.429,0.401,0.405,0.471,0.449,0.504,13333,0.434,N,13333.0,20230618
20230617,LLM_VIT,TSS,"13335,13336",0.599,0.595,0.712,0.599,0.687,0.692,0.638,0.634,0.589,0.838,13336,0.658,M,13336.0,20230618
20230617,LLM_VIT,TSS,"13337,13338",0.474,0.433,0.527,0.439,0.483,0.489,0.414,0.559,0.487,0.531,13338,0.483,N,13338.0,20230618
20230618,LLM_VIT,TSS,13333,0.397,0.349,0.31,0.344,0.354,0.342,0.345,0.386,0.373,0.412,13333,0.361,N,13333.0,20230619
20230618,LLM_VIT,TSS,"13335,13336",0.576,0.545,0.689,0.556,0.679,0.639,0.603,0.588,0.573,0.809,13335,0.625,C,13335.0,20230619
20230618,LLM_VIT,TSS,"13337,13338",0.455,0.402,0.484,0.428,0.453,0.481,0.408,0.51,0.45,0.479,13338,0.454,C,13337.0,20230619
20230619,LLM_VIT,TSS,13333,0.427,0.364,0.384,0.376,0.388,0.4,0.352,0.442,0.409,0.452,13333,0.399,N,13333.0,20230620
20230619,LLM_VIT,TSS,"13335,13336",0.628,0.579,0.819,0.581,0.785,0.693,0.683,0.721,0.677,0.875,13336,0.704,N,13336.0,20230620
20230619,LLM_VIT,TSS,"13337,13338",0.425,0.354,0.425,0.373,0.429,0.428,0.367,0.46,0.409,0.437,13337,0.41,N,13338.0,20230620
20230619,LLM_VIT,TSS,13339,0.468,0.433,0.506,0.43,0.473,0.47,0.403,0.509,0.454,0.503,13339,0.464,N,13339.0,20230620
20230620,LLM_VIT,TSS,13333,0.454,0.392,0.481,0.41,0.435,0.465,0.397,0.521,0.462,0.459,13333,0.447,N,13333.0,20230621
20230620,LLM_VIT,TSS,"13335,13336",0.598,0.542,0.758,0.55,0.753,0.646,0.643,0.664,0.632,0.835,13335,0.662,C,13336.0,20230621
20230620,LLM_VIT,TSS,"13337,13338",0.343,0.256,0.323,0.293,0.368,0.322,0.305,0.37,0.341,0.327,13338,0.324,M,13337.0,20230621
20230620,LLM_VIT,TSS,13339,0.45,0.418,0.456,0.413,0.45,0.442,0.403,0.478,0.432,0.491,13339,0.443,C,13339.0,20230621
20230620,LLM_VIT,TSS,13340,0.591,0.522,0.755,0.525,0.636,0.641,0.541,0.739,0.63,0.689,13340,0.626,N,13340.0,20230621
20230621,LLM_VIT,TSS,13333,0.399,0.331,0.42,0.375,0.378,0.433,0.346,0.467,0.4,0.379,13333,0.392,N,13333.0,20230622
20230621,LLM_VIT,TSS,"13335,13336",0.644,0.606,0.829,0.602,0.79,0.716,0.694,0.742,0.688,0.879,13335,0.719,N,13336.0,20230622
20230621,LLM_VIT,TSS,"13337,13338",0.432,0.338,0.454,0.358,0.446,0.397,0.336,0.446,0.427,0.386,13338,0.401,C,13337.0,20230622
20230621,LLM_VIT,TSS,13339,0.446,0.412,0.41,0.402,0.429,0.414,0.392,0.452,0.424,0.481,13339,0.426,C,13339.0,20230622
20230621,LLM_VIT,TSS,13340,0.63,0.575,0.815,0.534,0.72,0.684,0.625,0.821,0.697,0.769,13340,0.687,C,13340.0,20230622
20230622,LLM_VIT,TSS,"13334,13337,13338,13343",0.668,0.591,0.841,0.553,0.78,0.712,0.651,0.839,0.722,0.829,13338,0.718,C,13337.0,20230623
20230622,LLM_VIT,TSS,"13335,13336",0.647,0.63,0.842,0.633,0.778,0.759,0.699,0.748,0.677,0.884,13335,0.729,C,13335.0,20230623
20230622,LLM_VIT,TSS,13339,0.411,0.374,0.339,0.37,0.379,0.363,0.359,0.385,0.384,0.436,13339,0.379,N,13339.0,20230623
20230622,LLM_VIT,TSS,13340,0.502,0.453,0.571,0.439,0.546,0.508,0.495,0.624,0.536,0.641,13340,0.531,C,13340.0,20230623
20230622,LLM_VIT,TSS,13341,0.643,0.614,0.822,0.588,0.737,0.746,0.652,0.825,0.671,0.814,13341,0.711,C,13341.0,20230623
20230622,LLM_VIT,TSS,13345,0.302,0.234,0.25,0.264,0.266,0.281,0.25,0.324,0.293,0.224,13345,0.268,N,13345.0,20230623
20230623,LLM_VIT,TSS,"13334,13337,13338,13343",0.571,0.533,0.716,0.543,0.656,0.669,0.615,0.725,0.614,0.77,13338,0.641,C,13337.0,20230624
20230623,LLM_VIT,TSS,"13335,13336",0.729,0.725,0.937,0.719,0.861,0.866,0.801,0.894,0.792,0.942,13335,0.826,C,13335.0,20230624
20230623,LLM_VIT,TSS,13339,0.369,0.313,0.274,0.326,0.326,0.311,0.3,0.326,0.334,0.359,13339,0.323,C,13339.0,20230624
20230623,LLM_VIT,TSS,13340,0.445,0.393,0.397,0.398,0.437,0.412,0.406,0.451,0.429,0.521,13340,0.428,C,13340.0,20230624
20230623,LLM_VIT,TSS,13341,0.522,0.47,0.604,0.467,0.585,0.563,0.498,0.621,0.517,0.634,13341,0.548,C,13341.0,20230624
20230623,LLM_VIT,TSS,13345,0.238,0.171,0.181,0.207,0.221,0.216,0.208,0.244,0.233,0.18,13345,0.209,N,13345.0,20230624
20230624,LLM_VIT,TSS,"13334,13337,13338,13343",0.565,0.537,0.701,0.572,0.62,0.686,0.595,0.696,0.586,0.749,13338,0.63,C,13337.0,20230625
20230624,LLM_VIT,TSS,13339,0.395,0.337,0.332,0.345,0.361,0.355,0.322,0.378,0.371,0.398,13339,0.359,C,13339.0,20230625
