Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.5,Accuracy,0.7142857142857143,0.7142857142857143
0.5,Recall,0.65625,0.9
0.5,Precision,0.9545454545454546,0.45
0.5,TSS,0.55625,0.55625
0.5,HSS,0.413953488372093,0.413953488372093
0.5,FAR,0.045454545454545456,0.55
0.5,FPR,0.1,0.34375
0.55,Accuracy,0.7380952380952381,0.7380952380952381
0.55,Recall,0.6875,0.9
0.55,Precision,0.9565217391304348,0.47368421052631576
0.55,TSS,0.5875,0.5875
0.55,HSS,0.4486873508353222,0.4486873508353222
0.55,FAR,0.043478260869565216,0.5263157894736842
0.55,FPR,0.1,0.3125
0.6000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.6000000000000001,Recall,0.75,0.9
0.6000000000000001,Precision,0.96,0.5294117647058824
0.6000000000000001,TSS,0.65,0.65
0.6000000000000001,HSS,0.5239294710327456,0.5239294710327456
0.6000000000000001,FAR,0.04,0.47058823529411764
0.6000000000000001,FPR,0.1,0.25
0.6500000000000001,Accuracy,0.8095238095238095,0.8095238095238095
0.6500000000000001,Recall,0.78125,0.9
0.6500000000000001,Precision,0.9615384615384616,0.5625
0.6500000000000001,TSS,0.68125,0.68125
0.6500000000000001,HSS,0.5647668393782384,0.5647668393782384
0.6500000000000001,FAR,0.038461538461538464,0.4375
0.6500000000000001,FPR,0.1,0.21875
0.7000000000000001,Accuracy,0.8095238095238095,0.8095238095238095
0.7000000000000001,Recall,0.84375,0.7
0.7000000000000001,Precision,0.9,0.5833333333333334
0.7000000000000001,TSS,0.54375,0.54375
0.7000000000000001,HSS,0.5087719298245614,0.5087719298245614
0.7000000000000001,FAR,0.1,0.4166666666666667
0.7000000000000001,FPR,0.3,0.15625
0.7500000000000001,Accuracy,0.8571428571428571,0.8571428571428571
0.7500000000000001,Recall,0.90625,0.7
0.7500000000000001,Precision,0.90625,0.7
0.7500000000000001,TSS,0.60625,0.60625
0.7500000000000001,HSS,0.60625,0.60625
0.7500000000000001,FAR,0.09375,0.3
0.7500000000000001,FPR,0.3,0.09375
0.8,Accuracy,0.8333333333333334,0.8333333333333334
0.8,Recall,0.90625,0.6
0.8,Precision,0.8787878787878788,0.6666666666666666
0.8,TSS,0.50625,0.50625
0.8,HSS,0.5242718446601942,0.5242718446601942
0.8,FAR,0.12121212121212122,0.3333333333333333
0.8,FPR,0.4,0.09375
0.8500000000000001,Accuracy,0.8095238095238095,0.8095238095238095
0.8500000000000001,Recall,0.90625,0.5
0.8500000000000001,Precision,0.8529411764705882,0.625
0.8500000000000001,TSS,0.40625,0.40625
0.8500000000000001,HSS,0.436241610738255,0.436241610738255
0.8500000000000001,FAR,0.14705882352941177,0.375
0.8500000000000001,FPR,0.5,0.09375
0.9000000000000001,Accuracy,0.7619047619047619,0.7619047619047619
0.9000000000000001,Recall,0.9375,0.2
0.9000000000000001,Precision,0.7894736842105263,0.5
0.9000000000000001,TSS,0.13749999999999996,0.1375
0.9000000000000001,HSS,0.1732283464566929,0.1732283464566929
0.9000000000000001,FAR,0.21052631578947367,0.5
0.9000000000000001,FPR,0.8,0.0625
0.9500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.9500000000000001,Recall,1.0,0.1
0.9500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.9500000000000001,TSS,0.09999999999999998,0.1
0.9500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.9500000000000001,FAR,0.21951219512195122,0.0
0.9500000000000001,FPR,0.9,0.0
