Threshold,Metric Name/BS and BSS ,Class 0 Value,Class 1 Value
0.6000000000000001,FPR,0.9,0.0
0.6500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.6500000000000001,Recall,1.0,0.1
0.6500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.6500000000000001,TSS,0.09999999999999998,0.1
0.6500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.6500000000000001,FAR,0.21951219512195122,0.0
0.6500000000000001,FPR,0.9,0.0
0.7000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.7000000000000001,Recall,1.0,0.1
0.7000000000000001,Precision,0.7804878048780488,0.9999999999999998
0.7000000000000001,TSS,0.09999999999999998,0.1
0.7000000000000001,HSS,0.14479638009049775,0.14479638009049775
0.7000000000000001,FAR,0.21951219512195122,0.0
0.7000000000000001,FPR,0.9,0.0
0.7500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.7500000000000001,Recall,1.0,0.1
0.7500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.7500000000000001,TSS,0.09999999999999998,0.1
0.7500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.7500000000000001,FAR,0.21951219512195122,0.0
0.7500000000000001,FPR,0.9,0.0
0.8,Accuracy,0.7857142857142857,0.7857142857142857
0.8,Recall,1.0,0.1
0.8,Precision,0.7804878048780488,0.9999999999999998
0.8,TSS,0.09999999999999998,0.1
0.8,HSS,0.14479638009049775,0.14479638009049775
0.8,FAR,0.21951219512195122,0.0
0.8,FPR,0.9,0.0
0.8500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.8500000000000001,Recall,1.0,0.1
0.8500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.8500000000000001,TSS,0.09999999999999998,0.1
0.8500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.8500000000000001,FAR,0.21951219512195122,0.0
0.8500000000000001,FPR,0.9,0.0
0.9000000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.9000000000000001,Recall,1.0,0.1
0.9000000000000001,Precision,0.7804878048780488,0.9999999999999998
0.9000000000000001,TSS,0.09999999999999998,0.1
0.9000000000000001,HSS,0.14479638009049775,0.14479638009049775
0.9000000000000001,FAR,0.21951219512195122,0.0
0.9000000000000001,FPR,0.9,0.0
0.9500000000000001,Accuracy,0.7857142857142857,0.7857142857142857
0.9500000000000001,Recall,1.0,0.1
0.9500000000000001,Precision,0.7804878048780488,0.9999999999999998
0.9500000000000001,TSS,0.09999999999999998,0.1
0.9500000000000001,HSS,0.14479638009049775,0.14479638009049775
0.9500000000000001,FAR,0.21951219512195122,0.0
0.9500000000000001,FPR,0.9,0.0
